 Regions , Sellers ," 43,890 "," 43,891 "," 43,892 "," 43,893 "," 43,894 "," 43,895 "," 43,896 "," 43,897 "," 43,899 "," 43,900 "," 43,901 "," 43,902 "," 43,903 "," 43,904 "," 43,905 "," 43,906 "," 43,907 "," 43,908 "," 43,909 "," 43,910 "," 43,911 "," 43,912 "," 43,912 "," 43,913 "," 43,914 "," 43,915 "," 43,916 "," 43,917 "," 43,918 "," 43,919 "," 43,919 "," 43,920 "," 43,921 "," 43,922 "," 43,923 "," 43,924 "," 43,925 "," 43,926 "," 43,927 "," 43,928 "," 43,929 "," 43,930 "," 43,931 "," 43,932 "," 43,933 "," 43,934 "," 43,935 "," 43,936 "," 43,937 ", Sum 
 Daegu&Kyungpook , Special supply ," 1,020,000 ", - ," 690,000 "," 715,000 "," 700,000 ", - ," 320,000 ", - ," 500,000 "," 442,000 "," 501,000 "," 332,000 "," 141,000 ", - , - ," 788,000 "," 885,000 "," 469,000 "," 500,000 "," 415,000 ", - , - , - ," 454,000 "," 508,000 "," 485,000 "," 536,000 "," 225,000 "," 328,000 ", - , - ," 159,000 "," 99,000 "," 682,000 "," 93,000 ", - , - , - ," 309,000 "," 329,000 "," 186,000 "," 289,000 "," 228,000 "," 400,000 ", - ," 781,000 "," 332,000 ", - ," 469,000 "," 11,865,000 "
, Phamacy ," 300,000 "," 39,000 "," 249,000 "," 250,000 "," 36,000 "," 200,000 "," 590,000 "," 474,000 "," 589,000 "," 591,000 "," 602,000 "," 601,000 "," 599,000 "," 843,000 "," 143,000 "," 601,000 "," 566,000 "," 575,000 "," 577,000 "," 576,000 "," 511,000 "," 170,000 "," 169,000 "," 462,000 "," 462,000 "," 474,000 "," 462,000 "," 462,000 "," 578,000 "," 165,000 "," 165,000 "," 583,000 "," 578,000 "," 583,000 "," 580,000 "," 579,000 "," 601,000 "," 151,000 "," 602,000 "," 602,000 "," 597,000 "," 590,000 "," 580,000 "," 543,000 "," 139,000 "," 562,000 "," 617,000 "," 694,000 "," 530,000 "," 20,654,000 "
, Post office , - , - ," 210,000 "," 230,000 "," 230,000 "," 230,000 "," 46,000 ", - ," 41,000 "," 41,000 "," 30,000 "," 31,000 "," 30,000 ", - , - ," 30,000 "," 34,000 "," 38,000 "," 39,000 "," 35,000 ", - , - , - ," 32,000 "," 34,000 "," 33,000 "," 33,000 "," 35,000 "," 24,000 "," 13,000 ", - ," 29,000 "," 37,000 "," 37,000 "," 30,000 "," 26,000 ", - , - ," 26,000 "," 29,000 "," 27,000 "," 24,000 "," 24,000 "," 29,000 "," 12,000 "," 24,000 "," 21,000 ", - , - ," 928,000 "
, Hanaro mart ," 210,000 ", - ," 210,000 "," 210,000 "," 210,000 "," 210,000 "," 34,000 "," 34,000 "," 33,000 "," 34,000 "," 33,000 "," 34,000 "," 35,000 "," 53,000 ", - ," 34,000 "," 34,000 "," 25,000 "," 24,000 "," 22,000 "," 25,000 "," 11,000 "," 11,000 "," 27,000 "," 26,000 "," 24,000 "," 27,000 "," 26,000 ", - , - ," 13,000 "," 30,000 "," 27,000 "," 24,000 "," 24,000 "," 24,000 "," 29,000 "," 13,000 "," 28,000 "," 23,000 "," 25,000 "," 23,000 "," 22,000 ", - , - ," 22,000 "," 56,000 "," 54,000 ", - ," 975,000 "
, Public Home Shpping ," 10,000 "," 20,000 "," 20,000 "," 18,000 "," 13,000 "," 14,000 "," 47,000 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
, Medical institute , - , - ," 300,000 "," 860,000 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 Seoul&Gyeonggi&Incheon , Phamacy ," 2,080,000 "," 314,000 "," 1,172,000 "," 470,000 "," 1,077,000 "," 722,000 "," 2,790,000 "," 2,234,000 "," 2,774,000 "," 2,825,000 "," 2,794,000 "," 2,802,000 "," 2,811,000 "," 2,802,000 "," 800,000 "," 2,804,000 "," 2,731,000 "," 2,726,000 "," 2,727,000 "," 2,733,000 "," 4,619,000 "," 1,469,000 "," 1,471,000 "," 3,287,000 "," 3,292,000 "," 4,057,000 "," 3,298,000 "," 3,300,000 "," 5,304,000 "," 1,432,000 "," 1,432,000 "," 4,792,000 "," 4,404,000 "," 4,462,000 "," 4,409,000 "," 4,413,000 "," 4,142,000 "," 1,239,000 "," 4,029,000 "," 4,022,000 "," 3,916,000 "," 3,902,000 "," 3,806,000 "," 3,460,000 "," 1,259,000 "," 3,875,000 "," 4,403,000 "," 4,760,000 "," 3,411,000 "," 132,994,000 "
, Post office , - , - ," 56,000 "," 60,000 "," 60,000 "," 60,000 "," 12,000 ", - ," 13,000 "," 13,000 "," 14,000 "," 14,000 "," 14,000 ", - , - ," 14,000 "," 16,000 "," 24,000 "," 23,000 "," 26,000 ", - , - , - ," 22,000 "," 22,000 "," 22,000 "," 20,000 "," 23,000 ", - , - , - ," 18,000 "," 23,000 "," 22,000 "," 16,000 "," 15,000 ", - , - ," 15,000 "," 16,000 "," 16,000 "," 10,000 "," 15,000 "," 3,000 "," 2,000 "," 12,000 "," 11,000 ", - ," 10,000 "," 484,000 "
, Hanaro mart , - ," 1,120,000 "," 160,000 "," 160,000 "," 457,000 "," 158,000 "," 3,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 3,000 "," 4,000 "," 6,000 ", - ," 4,000 "," 3,000 "," 3,000 "," 4,000 "," 5,000 "," 3,000 "," 2,000 "," 2,000 "," 3,000 "," 4,000 "," 3,000 "," 4,000 "," 3,000 "," 3,000 "," 2,000 "," 2,000 "," 3,000 "," 4,000 "," 3,000 "," 3,000 "," 2,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 2,000 ", - , - ," 3,000 "," 6,000 "," 8,000 ", - ," 127,000 "
